,predicted_mean
2024-08-08,310.6231327806438
2024-08-09,311.1562878064523
2024-08-12,311.43484768200824
2024-08-13,315.36668088800815
2024-08-14,319.990014755444
2024-08-15,323.3414482122568
2024-08-16,322.6743012524446
2024-08-19,321.3710047407269
2024-08-20,325.8393449851225
2024-08-21,327.39499154420474
2024-08-22,329.28098884144725
2024-08-23,329.3527104972137
2024-08-26,329.0982035353503
2024-08-27,331.7645350134186
2024-08-28,329.4095249518682
2024-08-29,332.1959549661578
2024-08-30,329.59325047716027
2024-09-02,329.59325047716027
2024-09-03,336.15409479554984
2024-09-04,335.97571882789055
2024-09-05,334.9145597303197
2024-09-06,329.58964515590776
2024-09-09,324.5742287978822
2024-09-10,330.55562296149725
2024-09-11,328.7342715709786
2024-09-12,327.10391418490934
2024-09-13,320.18326717103963
2024-09-16,326.16327332367683
2024-09-17,321.07248475006753
2024-09-18,317.6444354668617
2024-09-19,318.85660397178646
2024-09-20,318.90461474678096
2024-09-23,317.8220046408009
2024-09-24,317.62794254267266
2024-09-25,322.6418382459581
2024-09-26,316.7832891807827
2024-09-27,318.4653696820283
2024-09-30,309.7972248159468
2024-10-01,306.97776895784676
2024-10-02,300.82003382616625
2024-10-03,299.57866692628517
2024-10-04,297.3005194778929
2024-10-07,312.0807754162075
2024-10-08,314.0158388360149
2024-10-09,317.1805642807911
2024-10-10,325.61407310739395
2024-10-11,327.36060945119044
2024-10-14,332.50460189883046
2024-10-15,335.8933045142904
2024-10-16,331.5860593995073
2024-10-17,330.9686107538867
2024-10-18,326.78278958229777
2024-10-21,330.09399657323337
